2021-05-18 17:39:28.709 dd.py[20] <module> -> Find Control Timeout: {Name: 'buttonMenu4', ControlType: ButtonControl}
2021-05-18 17:41:05.221 dd.py[22] <module> -> Find Control Timeout: {Name: '계기관리', ControlType: ButtonControl}
2021-05-20 10:13:11.092 dd.py[22] <module> -> Find Control Timeout: {Name: 'buttonMenu4', ControlType: ButtonControl}
2021-05-20 13:45:08.257 dd.py[22] <module> -> Find Control Timeout: {Name: 'WindowsForms10.BUTTON.app.0.1ca0192_r20_ad1', ControlType: ButtonControl}
2021-05-20 13:46:56.903 dd.py[22] <module> -> Find Control Timeout: {Name: 'WindowsForms10.BUTTON.app.0.1ca0192_r20_ad111', ControlType: ButtonControl}
2021-05-20 13:47:20.809 dd.py[22] <module> -> Find Control Timeout: {Name: 'WindowsForms10.BUTTON.app.0.1ca0192_r20_ad111', ControlType: ButtonControl}
2021-05-20 14:03:41.415 dd.py[23] <module> -> Find Control Timeout: {Name: '0x31 : 보안모듈 적용 계기', ControlType: ButtonControl}
2021-05-20 14:52:16.330 dd.py[23] <module> -> Find Control Timeout: {Name: '0x31 : 보안모듈 적용 계기', ControlType: ButtonControl}
2021-05-20 16:01:25.095 dd.py[24] <module> -> Find Control Timeout: {Name: '0x31 : 보안모듈 적용 계기', ControlType: ButtonControl}
2021-05-20 16:02:20.565 dd.py[24] <module> -> Find Control Timeout: {Name: '0x31 : 보안모듈 적용 계기', ControlType: ButtonControl}
2021-05-20 16:02:45.906 dd.py[24] <module> -> Find Control Timeout: {Name: '0x31 : 보안모듈 적용 계기', ControlType: ButtonControl}
2021-05-20 16:03:19.076 dd.py[24] <module> -> Find Control Timeout: {Name: '0x31 : 보안모듈 적용 계기', ControlType: ButtonControl}
2021-05-20 16:04:08.325 dd.py[24] <module> -> Find Control Timeout: {Name: '0x31 : 보안모듈 적용 계기', ControlType: ButtonControl}
2021-05-20 16:05:13.535 dd.py[24] <module> -> Find Control Timeout: {Name: '0x31 : 보안모듈 적용 계기', ControlType: ComboBoxControl}
2021-05-20 16:05:42.288 dd.py[24] <module> -> Find Control Timeout: {Name: '0x31 : 보안모듈 적용 계기', ControlType: ComboBoxControl}
2021-05-20 16:08:09.795 dd.py[24] <module> -> Find Control Timeout: {Name: '0x31 : 보안모듈 적용 계기', ControlType: ComboBoxControl}
2021-05-20 16:08:30.670 dd.py[24] <module> -> Find Control Timeout: {Name: '0x31 : 보안모듈 적용 계기', ControlType: ComboBoxControl}
2021-05-20 16:13:11.800 dd.py[24] <module> -> Find Control Timeout: {Name: '0x31 : 보안모듈 적용 계기', LocalizedControlType: '목록 항목', ControlType: ComboBoxControl}
2021-05-20 16:15:03.135 dd.py[24] <module> -> Find Control Timeout: {Name: '목록 항목', ControlType: ComboBoxControl}
2021-05-20 16:15:36.246 dd.py[24] <module> -> Find Control Timeout: {Name: '0x31 : 보안모듈 적용 계기', ControlType: ComboBoxControl}
2021-05-20 16:15:53.815 dd.py[24] <module> -> Find Control Timeout: {Name: '0x31 : 보안모듈 적용 계기', ControlType: ComboBoxControl}
2021-05-20 16:16:17.264 dd.py[24] <module> -> Find Control Timeout: {Name: '목록 항목', ControlType: ComboBoxControl}
2021-05-20 16:28:39.132 dd.py[23] <module> -> Find Control Timeout: {Name: '0x01 : 모든 계기 (Default)', ControlType: ComboBoxControl}
2021-05-20 16:30:14.251 dd.py[23] <module> -> Find Control Timeout: {Name: '0x01 : 모든 계기 (Default)', ControlType: ComboBoxControl}
2021-05-20 17:27:19.106 dd.py[23] <module> -> Find Control Timeout: {Name: '0x01 : 모든 계기 (Default)', ControlType: ComboBoxControl}
